"","node1_mic","node2_mic","MIC","pMIC","regression","p_regression"
"23929","OTU196900388","OTU196900260",0.192829283905619,0.459,0.00439560439560441,0.976319920174872
"23930","OTU196900391","OTU196900260",0.257831462459772,0.264,0.300397877984085,0.249692565849364
"23931","OTU196900392","OTU196900260",0.257831462459772,0.259,0.229442970822281,0.266236700888978
"23932","OTU196900393","OTU196900260",0.160112494299011,0.717,-0.213527851458886,0.158696043410143
"23933","OTU196900398","OTU196900260",0.370506500549505,0.148,0.230769230769231,0.42733586167745
"23934","OTU196900400","OTU196900260",0.408327221417673,0.072,-0.134615384615385,0.655327050596698
"23935","OTU196900401","OTU196900260",0.256981189242354,0.529,0.175824175824176,0.536479569200871
"23936","OTU196900402","OTU196900260",0.2074985173809,0.308,0.00928381962864724,0.942783172915756
"23937","OTU196900404","OTU196900260",0.257831462459772,0.253,0.235164835164835,0.345167025096036
"23938","OTU196900406","OTU196900260",0.256981189242354,0.538,-0.309681697612732,0.108011661398535
"23939","OTU196900408","OTU196900260",0.113400864181103,0.876,0.0329670329670329,0.851131109582675
"23940","OTU196900409","OTU196900260",0.370506500549505,0.058,-0.0636604774535809,0.596824939973522
"23941","OTU196900414","OTU196900260",0.128085278891394,0.894,-0.23474801061008,0.249013763951126
"23942","OTU196900418","OTU196900260",0.257831462459772,0.297,0.137267904509284,0.58583234655514
"23943","OTU196900424","OTU196900260",0.128884118981421,0.771,-0.0649867374005305,0.61344950674958
"23944","OTU196900425","OTU196900260",0.321023828688051,0.216,-0.0862068965517242,0.631513254898981
"23945","OTU196900429","OTU196900260",0.256981189242354,0.577,0.131962864721485,0.652926469912257
"23946","OTU196900431","OTU196900260",0.256981189242354,0.407,0.00417681865645664,0.985872084978557
"23947","OTU196900444","OTU196900260",0.2074985173809,0.311,-0.138461538461538,0.225082273010101
"23948","OTU196900445","OTU196900260",0.198117421130403,0.638,-0.390583554376658,0.0118024901795929
"23949","OTU196900446","OTU196900260",0.159262221081593,0.785,0.105437665782493,0.561187043615278
"23950","OTU196900449","OTU196900260",0.256981189242354,0.541,-0.140659340659341,0.621997378979461
"23951","OTU196900450","OTU196900260",0.160112494299011,0.855,-0.206593406593407,0.353633052622705
"23952","OTU196900454","OTU196900260",0.160112494299011,0.718,-0.283516483516484,0.0312876390392678
"23953","OTU196900458","OTU196900260",0.256981189242354,0.529,-0.316483516483516,0.144256893027233
"23954","OTU196900464","OTU196900260",0.689391746743088,0.01,0.0484084880636604,0.8191600798024
"23955","OTU196900465","OTU196900260",0.198117421130403,0.652,-0.145054945054945,0.392250808471564
