Gb1_RT;Gb1;Gb10_RT;Gb10;Gb12_RT;Gb12;Gb13_RT;Gb13;Gb14_RT;Gb14;Gb15_RT;Gb15;Gb16_RT;Gb16;Gb17_RT;Gb17;Gb18_RT;Gb18;Gb19_RT;Gb19;Gb2_RT;Gb2;Gb20_RT;Gb20;Gb21_RT;Gb21;Gb3_RT;Gb3;Gb7_RT;Gb7;Gb8_RT;Gb8;Gb9_RT;Gb9
0.906;28001962;0.906;30497440;0.906;23821004;0.906;22511540;0.906;24781106;0.906;26050608;0.906;10229399;0.906;27117916;0.906;26218720;0.906;35256152;0.906;27569920;0.906;26144650;0.906;25061834;0.906;23891606;0.906;33423492;0.906;29929846;0.906;27530200
0.916;30334624;0.917;31777068;0.916;26110096;0.917;24875776;0.917;25498318;0.916;28680200;0.917;10561103;0.917;28730392;0.916;27900884;0.917;35619132;0.917;29631812;0.917;27146558;0.917;26824212;0.917;25265496;0.917;33966280;0.916;31211020;0.916;29230864
0.927;32237420;0.927;33079358;0.927;27932204;0.927;27646428;0.927;26940828;0.927;30514150;0.927;10982184;0.927;30195944;0.927;29451516;0.927;35897544;0.927;31418688;0.927;28323394;0.927;28446506;0.927;27172560;0.927;34238464;0.927;32142080;0.927;30730032
0.937;33359926;0.938;33827608;0.937;29597148;0.938;29247068;0.938;28669264;0.937;32121678;0.938;11438293;0.938;31272972;0.937;30782108;0.938;36125540;0.938;32235828;0.938;29914374;0.938;29979292;0.938;29212184;0.938;34644436;0.937;32866860;0.937;31422094
0.948;33609572;0.948;33726036;0.948;31083812;0.948;29659962;0.948;30501756;0.948;33058188;0.948;11834081;0.948;32237886;0.948;31272992;0.948;36100996;0.948;32339268;0.948;31091632;0.948;31172940;0.948;30587284;0.948;34741944;0.948;33140438;0.948;31714928
0.958;33060644;0.959;33255736;0.958;31749140;0.959;29175692;0.959;30933884;0.958;33354972;0.959;11835658;0.959;32494448;0.958;30918276;0.959;35895728;0.959;31615988;0.959;31575974;0.958;31616728;0.958;30947732;0.959;34275184;0.958;32741314;0.958;31178206
0.969;31868880;0.969;31990086;0.969;31260268;0.969;27210324;0.969;30544144;0.969;32665456;0.969;12016083;0.969;32346444;0.969;29812908;0.969;35599560;0.969;30197064;0.969;31294980;0.969;31393576;0.969;30513360;0.969;33250272;0.969;32159482;0.969;29784032
0.979;29298084;0.979;30073888;0.979;29971708;0.980;24316668;0.979;29394978;0.979;31360198;0.980;12155978;0.980;31726176;0.979;28213484;0.979;34941644;0.980;28065284;0.980;30543636;0.979;30515144;0.979;29114032;0.979;32062740;0.979;30954012;0.979;27986070
0.990;26238456;0.990;27830736;0.990;28311492;0.990;20578112;0.990;27112180;0.990;29502760;0.990;12270842;0.990;30318152;0.990;26106952;0.990;33875196;0.990;25146812;0.990;29115492;0.990;29056456;0.990;26640708;0.990;30453676;0.990;29764178;0.990;25867526
1.000;22660716;1.000;25983820;1.000;26075408;1.001;17384634;1.000;24898600;1.000;26294864;1.001;12107810;1.001;28719624;1.000;24216808;1.000;32958482;1.001;22246668;1.000;27326970;1.000;26855164;1.000;23877328;1.000;28605468;1.000;28381796;1.000;23740988
