"","Sf1","Sf2","Sf3","Sf4","Sf5","Sf6","Sf7","Sf8","Sf9","Sf10","Sf11","Sf12","Sf13","Sf14","Sf15","shallow_mean","deep_mean","ttest_pval","XOTU","inc_dec_estimate","inc_dec_p_val","classification"
"X196900241",0.298285714285714,0.282857142857143,0,0,0,0.108571428571429,1,0.143428571428571,0.46,0,0.169714285714286,0.232,0.733714285714286,0.266857142857143,0.725714285714286,0.229142857142857,0.369714285714286,0.39787132025618,"X196900241",0.354493849751233,0.194825397888976,"inc.trend"
"X196900249",0.555785123966942,0.618801652892562,0.59400826446281,0,0.746900826446281,0.489669421487603,0,0.205578512396694,0.713842975206612,0.449380165289256,0.296487603305785,1,0.362603305785124,0.416322314049587,0.330578512396694,0.401342975206612,0.509887839433294,0.460719454405627,"X196900249",0.0044414414261894,0.987466385508314,"inc.trend"
"X196900279",0.39833531510107,0,0,0.335315101070155,0,0.21640903686088,0,0.321046373365042,0.439952437574316,0.356718192627824,0.390011890606421,0.406658739595719,0.305588585017836,0,1,0.158888228299643,0.414132835060302,0.0607638393651706,"X196900279",0.44116504743187,0.0997387124144943,"inc.trend"
"X196900289",0.580701754385965,0.605263157894737,0.684210526315789,0,1,0.96140350877193,0,0.428070175438596,0.505263157894737,0.433333333333333,0.291228070175439,0,0.471929824561404,0,0,0.532456140350877,0.243107769423559,0.106160065781442,"X196900289",-0.494912672106396,0.0607047450617072,"dec.trend"
"X196900295",0.425240054869685,0,0.529492455418381,0,0.768175582990398,0.396433470507545,0,0.559670781893004,0.754458161865569,0.489711934156379,0,0.703703703703704,1,0.689986282578875,0,0.334876543209877,0.519694297472075,0.314480984611691,"X196900295",0.274556214406787,0.322024418598518,"inc.trend"
"X196900356",0,0.263993316624896,0,1,0.7109440267335,0.29156223893066,0,0,0.297410192147034,0.18546365914787,0.20718462823726,0.681704260651629,0.52297410192147,0.701754385964912,0.471177944862155,0.283312447786132,0.438238453276047,0.359685414143073,"X196900356",0.372886617032447,0.171037405970023,"inc.trend"
"X196900377",0,0,0.20789138735681,0.148069579974544,0,0,1,0.22274077216801,0.298260500636402,0.196011879507849,0.176495545184557,0.509546033092915,0.400933389902418,0.650827322868053,0.299109036911328,0.19733771743742,0.361597672586217,0.268483306039919,"X196900377",0.471378251821527,0.0761060754104063,"inc.trend"
"X196900140",0.647251495300484,0,0.063372258615779,0,0,0.12133295357448,0.827826829962974,0.890344631159214,1,0.472514953004842,0.223013386499573,0.114782113358018,0.362289945884363,0.424807747080604,0.501139276559385,0.318766021076616,0.442649631769541,0.504430449880055,"X196900140",0.147537147920005,0.599775551262774,"inc.trend"
"X196900192",0.251738192280029,0.323663390074323,0.333972668424838,0.457684008631024,0.643251018940302,0.210501078877967,0.409733876768161,0.565571805322465,0.271157995684488,0.293694557660034,0.0692879405418365,0.77823064013426,1,0.565811555981779,0.536801726204747,0.399514504914888,0.502140630886735,0.430345328617019,"X196900192",0.473111067795091,0.0748854253037614,"inc.trend"
"X196900227",0.779555555555556,0,0.596444444444444,0,0.912,0.443555555555556,0,0.382222222222222,0.695111111111111,0.533333333333333,0.311111111111111,1,0.547555555555556,0.864888888888889,0,0.389222222222222,0.564571428571429,0.352832005775015,"X196900227",0.156958462964862,0.576406188513964,"inc.trend"
"X196900228",0.308845577211394,0.125937031484258,0,0,0,0.107946026986507,1,0.357321339330335,0.526736631684158,0.343328335832084,0.221889055472264,0,0.444277861069465,0.504247876061969,0.368815592203898,0.237506246876562,0.344185050331977,0.471084538538886,"X196900228",0.269461672778131,0.331444633192992,"inc.trend"
"X196900287",0.290150842945874,0,0.792369121561668,0,0.707187222715173,0.191659272404614,0,0,0.292812777284827,0.234250221827862,0.301685891748004,0.918367346938776,0.442768411712511,1,0,0.247670807453416,0.45569780707314,0.269053586275168,"X196900287",0.283161995621495,0.306465117676062,"inc.trend"
"X196900354",0,0.116705698672912,0.163934426229508,0.0921155347384856,0.254098360655738,0.432864949258392,1,0.346994535519126,0.538251366120219,0.165495706479313,0.185011709601874,0.413739266198283,0.238095238095238,0.323185011709602,0.448868071818891,0.30083918813427,0.330378052860488,0.823591232938884,"X196900354",0.282944280933468,0.306853249889813,"inc.trend"
